invoice_item_id,invoice_id,product_id,quantity
1,760,19,10
2,7724,25,3
3,9937,19,13
4,1932,3,1
5,4617,6,7
6,1498,2,4
7,8338,5,7
8,1680,15,8
9,3760,2,6
10,2076,22,7
11,4413,3,15
12,4396,18,4
13,6003,19,5
14,5520,13,3
15,1166,22,15
16,9805,14,3
17,3123,2,15
18,2261,22,13
19,9230,25,4
20,3166,11,7
21,6138,2,11
22,8902,16,12
23,2196,22,14
24,5607,13,3
25,7054,6,8
26,4943,18,6
27,4989,5,11
28,8222,9,3
29,5700,8,1
30,9177,8,11
31,6175,1,9
32,4470,3,13
33,1467,13,4
34,8056,13,15
35,4563,13,7
36,8635,7,2
37,823,5,14
38,1821,6,10
39,3765,24,3
40,991,20,3
41,7940,16,12
42,5101,9,5
43,6509,8,5
44,6206,20,1
45,3673,21,5
46,2327,5,2
47,8933,13,4
48,4072,12,5
49,4446,14,14
50,6793,7,12
51,6062,10,10
52,6738,2,9
53,3361,23,2
54,7614,10,6
55,7963,3,12
56,2164,8,10
57,9694,7,1
58,6133,11,5
59,1858,13,8
60,9114,16,15
61,9624,8,5
62,3912,18,7
63,4803,8,11
64,1556,8,12
65,799,3,4
66,1279,8,11
67,3964,1,11
68,3030,18,3
69,7942,23,9
70,9019,11,8
71,1660,2,10
72,5994,21,4
73,3595,13,2
74,3705,17,1
75,1217,11,2
76,1371,6,5
77,6263,23,10
78,8453,21,1
79,4766,14,2
80,6943,11,10
81,9611,18,11
82,9307,19,3
83,3639,15,12
84,6692,23,15
85,8670,24,5
86,1798,12,1
87,6325,17,12
88,628,21,9
89,4864,17,7
90,6249,5,11
91,1501,19,8
92,4687,20,2
93,213,17,8
94,321,23,13
95,6470,20,8
96,3203,19,9
97,7838,20,4
98,3801,16,10
99,2604,6,13
100,7305,12,3
101,7568,16,15
102,8500,1,10
103,2686,25,11
104,518,24,15
105,8427,3,1
106,8234,1,4
107,354,18,2
108,8098,20,14
109,7195,12,12
110,5608,11,15
111,1621,15,6
112,5366,14,13
113,4738,22,5
114,6120,10,6
115,7223,11,15
116,1783,10,10
117,5184,6,7
118,1792,19,9
119,8954,23,8
120,4903,13,12
121,1273,17,6
122,1942,13,13
123,9780,25,6
124,3395,25,1
125,6780,6,11
126,9274,4,11
127,1071,10,15
128,1029,7,4
129,761,16,6
130,4651,24,15
131,4888,16,10
132,6535,9,15
133,8868,17,7
134,8820,16,3
135,6500,15,12
136,9673,21,3
137,7542,8,10
138,9527,9,11
139,7813,1,14
140,1243,3,8
141,58,22,15
142,9063,24,9
143,288,17,8
144,3554,19,3
145,1921,11,1
146,6566,20,1
147,1256,14,6
148,7204,23,10
149,74,21,9
150,8592,11,8
151,4852,23,1
152,5618,17,2
153,8551,10,2
154,4496,17,2
155,3882,6,5
156,6091,16,5
157,707,13,7
158,586,9,12
159,9909,16,11
160,2244,21,6
161,1027,19,1
162,9323,17,13
163,6982,3,4
164,464,4,14
165,2367,10,3
166,3992,23,3
167,4312,11,8
168,3841,16,9
169,6301,22,3
170,2141,1,11
171,3142,4,11
172,8620,24,1
173,5075,15,12
174,6327,11,9
175,4391,7,6
176,8188,17,5
177,8656,15,13
178,8899,7,1
179,6849,2,6
180,9847,12,5
181,8199,25,13
182,6912,9,5
183,1884,20,7
184,4853,14,8
185,2770,13,2
186,5589,13,5
187,269,17,1
188,2764,9,4
189,8952,1,7
190,2777,3,12
191,7062,14,9
192,2751,12,14
193,2079,21,11
194,8313,14,3
195,1399,12,5
196,773,24,12
197,3091,2,6
198,9645,19,2
199,2978,3,11
200,4511,14,8
201,1328,2,6
202,3447,14,11
203,6316,21,12
204,9002,15,11
205,5028,20,7
206,7981,3,3
207,9825,5,8
208,3731,21,15
209,9800,3,3
210,7768,11,2
211,3012,15,11
212,9607,14,10
213,3097,22,11
214,6679,9,6
215,9837,22,15
216,547,18,15
217,7927,3,6
218,6581,1,13
219,5090,2,13
220,5749,20,1
221,2230,23,12
222,3952,2,2
223,8385,13,10
224,9561,10,8
225,3917,6,15
226,7417,10,7
227,8787,18,5
228,2326,13,11
229,3175,6,12
230,131,16,12
231,4511,8,9
232,5566,2,2
233,7430,20,10
234,2528,13,12
235,3320,8,14
236,187,22,11
237,1507,8,8
238,2509,6,8
239,8698,2,10
240,6790,19,7
241,6691,4,9
242,1071,21,14
243,9417,21,8
244,894,18,11
245,4056,1,5
246,4771,14,10
247,2531,14,9
248,1591,25,13
249,3097,17,11
250,3519,1,8
251,7702,2,1
252,6892,8,5
253,563,10,9
254,7267,1,4
255,8781,12,6
256,603,4,12
257,398,9,15
258,6239,20,2
259,758,20,7
260,8498,19,14
261,4706,24,15
262,9181,25,1
263,9935,16,2
264,137,22,6
265,1668,2,10
266,8042,14,4
267,1515,15,10
268,5376,7,15
269,6934,5,11
270,2403,11,5
271,5358,24,3
272,9774,3,1
273,8409,13,6
274,5326,7,7
275,8946,5,3
276,287,18,15
277,3886,3,4
278,5635,13,2
279,4531,4,8
280,4327,12,3
281,5985,8,11
282,9223,25,14
283,4533,23,7
284,9524,19,2
285,2405,13,3
286,8276,5,6
287,5198,19,2
288,2931,13,3
289,6655,4,3
290,3541,23,15
291,643,1,1
292,962,3,11
293,9993,12,8
294,5879,10,12
295,6060,3,13
296,4986,1,3
297,489,4,6
298,112,5,7
299,2315,4,13
300,6826,12,6
301,4162,21,13
302,9590,14,1
303,566,20,5
304,9749,9,3
305,7454,1,4
306,7737,7,10
307,4552,15,10
308,1808,19,2
309,1384,18,2
310,3617,18,4
311,2005,10,6
312,371,25,9
313,5851,15,6
314,8467,18,1
315,1667,21,15
316,6087,4,11
317,6381,16,11
318,4825,8,5
319,1502,21,10
320,9971,9,2
321,9168,24,13
322,5698,13,8
323,4005,13,10
324,7035,1,11
325,6129,4,15
326,4425,18,3
327,4629,7,10
328,1110,11,15
329,8466,13,2
330,7108,2,10
331,3439,24,12
